File,ChangeType,FileHuman,WorkingDir,PrevName,severity,severityIcon
Canvases/mule__dataloaderio_v2_oauth_c4s__dataloaderio_v2_oauth_c4sCanvas.Canvas-meta.xml,A,CanvasMetadata mule__dataloaderio_v2_oauth_c4s__dataloaderio_v2_oauth_c4sCanvas,,,log,📰
apexEmailNotifications/apexEmailNotifications.notifications-meta.xml,A,apexEmailNotifications/apexEmailNotifications.notifications-meta.xml,,,log,📰
appMenus/AppSwitcher.appMenu-meta.xml,A,AppMenu AppSwitcher,,,log,📰
appMenus/Salesforce1.appMenu-meta.xml,A,AppMenu Salesforce1,,,log,📰
applications/Dreamhouse.app-meta.xml,A,CustomApplication Dreamhouse,,,log,📰
assignmentRules/Case.assignmentRules-meta.xml,A,AssignmentRules Case,,,log,📰
assignmentRules/Lead.assignmentRules-meta.xml,A,AssignmentRules Lead,,,log,📰
aura/auraPropertyListMap/auraPropertyListMap.cmp,A,AuraDefinitionBundle auraPropertyListMap/auraPropertyListMap.cmp,,,log,📰
aura/auraPropertyListMap/auraPropertyListMap.cmp-meta.xml,A,AuraDefinitionBundle auraPropertyListMap/auraPropertyListMap.cmp-meta.xml,,,log,📰
aura/auraPropertyListMap/auraPropertyListMap.css,A,AuraDefinitionBundle auraPropertyListMap/auraPropertyListMap.css,,,log,📰
aura/auraPropertyListMap/auraPropertyListMap.design,A,AuraDefinitionBundle auraPropertyListMap/auraPropertyListMap.design,,,log,📰
aura/auraPropertyListMap/auraPropertyListMapController.js,A,AuraDefinitionBundle auraPropertyListMap/auraPropertyListMapController.js,,,log,📰
aura/auraPropertyListMap/auraPropertyListMapHelper.js,A,AuraDefinitionBundle auraPropertyListMap/auraPropertyListMapHelper.js,,,log,📰
aura/auraPropertyListMap/auraPropertyListMapRenderer.js,A,AuraDefinitionBundle auraPropertyListMap/auraPropertyListMapRenderer.js,,,log,📰
aura/pageTemplate_2_7_3/pageTemplate_2_7_3.cmp,A,AuraDefinitionBundle pageTemplate_2_7_3/pageTemplate_2_7_3.cmp,,,log,📰
aura/pageTemplate_2_7_3/pageTemplate_2_7_3.cmp-meta.xml,A,AuraDefinitionBundle pageTemplate_2_7_3/pageTemplate_2_7_3.cmp-meta.xml,,,log,📰
aura/pageTemplate_2_7_3/pageTemplate_2_7_3.design,A,AuraDefinitionBundle pageTemplate_2_7_3/pageTemplate_2_7_3.design,,,log,📰
aura/pageTemplate_2_7_3/pageTemplate_2_7_3.svg,A,AuraDefinitionBundle pageTemplate_2_7_3/pageTemplate_2_7_3.svg,,,log,📰
autoResponseRules/Case.autoResponseRules-meta.xml,A,AutoResponseRules Case,,,log,📰
autoResponseRules/Lead.autoResponseRules-meta.xml,A,AutoResponseRules Lead,,,log,📰
channelLayouts/Knowledge__kav.Channel_Mapping_Chat_Preconfigured.channelLayout-meta.xml,A,ChannelLayout Knowledge__kav.Channel_Mapping_Chat_Preconfigured,,,log,📰
channelLayouts/Knowledge__kav.Channel_Mapping_Email_Preconfigured.channelLayout-meta.xml,A,ChannelLayout Knowledge__kav.Channel_Mapping_Email_Preconfigured,,,log,📰
classes/FileUtilities.cls,A,ApexClass FileUtilities,,,log,📰
classes/FileUtilities.cls-meta.xml,A,ApexClass FileUtilities,,,log,📰
classes/FileUtilitiesTest.cls,A,ApexClass FileUtilitiesTest,,,log,📰
classes/FileUtilitiesTest.cls-meta.xml,A,ApexClass FileUtilitiesTest,,,log,📰
classes/GeocodingService.cls,A,ApexClass GeocodingService,,,log,📰
classes/GeocodingService.cls-meta.xml,A,ApexClass GeocodingService,,,log,📰
classes/GeocodingServiceTest.cls,A,ApexClass GeocodingServiceTest,,,log,📰
classes/GeocodingServiceTest.cls-meta.xml,A,ApexClass GeocodingServiceTest,,,log,📰
